,q103_survey_type,q213_no_members,q216_house_pucca_kachha,q217_house_type,q218_house_no_stories,q223_house_no_bedrooms,q224_house_no_toilets,q225_house_no_otherrooms,land_area_sqfeet,q228_plot_use_house_in_percent,q301_grid_yn,q313_grid_billfreq,q610_elec_bill_physical_yn,q610_a_no_billing_days,q610_b_billed_units,q405_a_incadescent_bulb_no,q405_b_cfl_bulb_no,q405_c_led_bulb_no,q405_d_led_tube_light_no,q405_e_cfl_tube_light_no,q409_ceiling_fan_yn,q410_ceiling_fan_no,q415_table_fan_yn,q416_table_fan_no,q421_air_coolers_yn,q422_air_coolers_no,q427_ac_yn,q428_ac_no,q459_tv_yn,q460_tv_no,q466_fridge_yn,q467_fridge_no,q471_mixer_grinder_2_yn,q472_wash_mach_yn,q476_iron_yn,q477_water_pump_yn,q480_water_pump_cap_hp
1132,1,3,2,1.0,1.0,1,1,2,680.0,90.0,1,1.0,1.0,25.0,43.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
1166,1,4,2,1.0,1.0,1,1,2,800.0,80.0,1,1.0,0.0,,,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
1184,1,2,2,1.0,1.0,2,1,2,450.0,80.0,1,1.0,1.0,30.0,12.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
1211,1,5,2,1.0,1.0,1,2,2,600.0,60.0,1,1.0,1.0,30.0,38.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
1238,1,6,2,1.0,1.0,2,1,2,7532.0,70.0,1,1.0,1.0,30.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
1266,1,6,1,,,1,1,2,400.0,80.0,1,1.0,1.0,30.0,43.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
1351,1,8,2,1.0,1.0,3,2,2,600.0,90.0,1,1.0,1.0,30.0,36.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
1419,1,4,1,,,1,1,2,1000.0,50.0,1,1.0,1.0,30.0,30.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
1452,1,2,1,,,1,1,1,600.0,30.0,1,1.0,1.0,30.0,64.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
1459,2,7,2,,,1,1,1,,90.0,1,1.0,1.0,30.0,72.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
1520,1,5,2,1.0,1.0,3,1,3,500.0,90.0,1,1.0,1.0,30.0,87.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
1555,1,5,1,,,1,1,2,450.0,50.0,1,3.0,1.0,30.0,110.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
1617,1,2,2,1.0,1.0,1,1,1,600.0,70.0,1,1.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
1624,1,3,2,1.0,1.0,1,1,1,500.0,60.0,1,1.0,1.0,30.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
1631,1,4,1,,,1,1,2,300.0,60.0,1,3.0,0.0,,,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
1643,1,8,1,,,1,2,1,600.0,65.0,1,3.0,0.0,,,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,1.0,
1647,1,3,3,1.0,1.0,2,1,2,590.0,60.0,1,1.0,0.0,,,2.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
1660,1,3,2,1.0,1.0,1,1,1,400.0,90.0,1,1.0,1.0,30.0,149.0,0.0,1.0,3.0,0.0,0.0,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
1778,1,5,3,1.0,1.0,1,1,3,3000.0,100.0,1,1.0,1.0,30.0,39.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
1779,1,4,1,,,1,1,2,700.0,50.0,1,1.0,1.0,30.0,102.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
