,q103_survey_type,q213_no_members,q216_house_pucca_kachha,q217_house_type,q218_house_no_stories,q223_house_no_bedrooms,q224_house_no_toilets,q225_house_no_otherrooms,land_area_sqfeet,q228_plot_use_house_in_percent,q301_grid_yn,q313_grid_billfreq,q610_elec_bill_physical_yn,q610_a_no_billing_days,q610_b_billed_units,q405_a_incadescent_bulb_no,q405_b_cfl_bulb_no,q405_c_led_bulb_no,q405_d_led_tube_light_no,q405_e_cfl_tube_light_no,q409_ceiling_fan_yn,q410_ceiling_fan_no,q415_table_fan_yn,q416_table_fan_no,q421_air_coolers_yn,q422_air_coolers_no,q427_ac_yn,q428_ac_no,q459_tv_yn,q460_tv_no,q466_fridge_yn,q467_fridge_no,q471_mixer_grinder_2_yn,q472_wash_mach_yn,q476_iron_yn,q477_water_pump_yn,q480_water_pump_cap_hp
7152,1,6,3,1.0,1.0,2,2,1,1200.0,80.0,1,1.0,1.0,30.0,15.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
7153,1,4,2,1.0,1.0,1,2,2,300.0,90.0,1,1.0,1.0,30.0,49.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,
7156,1,8,2,1.0,1.0,1,1,1,2000.0,60.0,1,1.0,1.0,30.0,39.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
7175,1,10,2,1.0,1.0,1,1,2,1089.0,80.0,1,1.0,1.0,30.0,36.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7181,2,6,1,,,2,2,2,2000.0,20.0,1,1.0,0.0,,,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
7219,1,8,1,,,2,1,2,800.0,80.0,1,1.0,1.0,25.0,,3.0,1.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,
7228,1,5,2,1.0,1.0,1,1,1,800.0,80.0,1,1.0,1.0,30.0,150.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
7238,2,3,2,1.0,1.0,2,1,1,350.0,50.0,1,1.0,1.0,30.0,68.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
7242,1,4,1,,,2,1,1,2000.0,,1,1.0,0.0,,,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
7247,1,10,1,,,1,1,4,350.0,70.0,1,1.0,1.0,30.0,40.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,2.0,0.0,,0.0,0.0,0.0,0.0,
7267,1,5,1,,,1,1,2,1500.0,50.0,1,1.0,1.0,30.0,23.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
7275,1,4,2,1.0,1.0,1,1,1,450.0,59.0,1,1.0,1.0,30.0,63.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,
7285,2,4,3,1.0,1.0,1,1,0,150.0,100.0,1,1.0,1.0,30.0,78.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7295,2,4,3,1.0,1.0,1,1,1,225.0,100.0,1,1.0,1.0,30.0,69.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
7308,1,8,2,1.0,1.0,3,2,3,600.0,80.0,1,1.0,0.0,,,0.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,,0.0,,0.0,,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,
7317,1,6,3,1.0,1.0,1,1,1,550.0,80.0,1,1.0,1.0,30.0,68.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,1.0,0.0,
7346,2,4,3,1.0,1.0,1,1,1,180.0,100.0,1,1.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7351,1,6,1,,,1,1,2,600.0,60.0,1,3.0,0.0,,,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
7359,1,4,2,1.0,1.0,1,2,2,600.0,60.0,1,1.0,1.0,30.0,103.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,
7373,1,1,2,1.0,1.0,2,1,2,,80.0,1,1.0,1.0,30.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
7375,2,5,3,1.0,1.0,3,1,2,1000.0,70.0,1,6.0,0.0,,,0.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
7376,1,5,2,1.0,1.0,2,1,3,350.0,60.0,1,1.0,0.0,,,2.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7382,1,6,2,1.0,1.0,1,1,1,750.0,70.0,1,1.0,1.0,30.0,37.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
7405,1,2,3,1.0,1.0,2,1,0,550.0,90.0,1,1.0,1.0,30.0,32.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
7412,1,3,3,1.0,1.0,1,1,2,600.0,90.0,1,1.0,1.0,30.0,37.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7414,1,6,2,1.0,1.0,2,2,2,7532.0,80.0,1,1.0,1.0,30.0,11.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7415,1,4,3,1.0,1.0,1,1,2,700.0,70.0,1,1.0,0.0,,,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7419,2,5,3,1.0,1.0,1,1,1,600.0,60.0,1,1.0,1.0,30.0,85.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
7423,1,5,3,1.0,1.0,3,1,1,1200.0,90.0,1,1.0,1.0,30.0,51.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
7427,1,5,2,1.0,1.0,2,1,2,600.0,85.0,1,1.0,1.0,25.0,25.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7446,1,7,3,1.0,1.0,1,1,1,400.0,90.0,1,1.0,0.0,,,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
7450,2,2,3,1.0,1.0,1,1,0,150.0,100.0,1,1.0,1.0,30.0,157.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7453,1,5,2,1.0,1.0,1,1,2,1000.0,70.0,1,1.0,0.0,,,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7460,2,7,3,1.0,1.0,1,1,2,600.0,100.0,1,1.0,1.0,30.0,92.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,1.0,1.0,1.0
7475,1,3,3,1.0,1.0,2,2,1,2000.0,50.0,1,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7489,2,7,3,1.0,1.0,1,1,2,500.0,100.0,1,1.0,0.0,,,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
7498,2,5,3,1.0,1.0,1,1,2,,,1,1.0,1.0,30.0,,1.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
7500,1,5,3,1.0,1.0,2,1,2,1100.0,70.0,1,1.0,0.0,,,2.0,3.0,2.0,0.0,1.0,1.0,3.0,0.0,,0.0,,0.0,,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,
7504,1,6,1,,,1,1,1,500.0,80.0,1,1.0,0.0,,,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,
7511,2,4,3,1.0,1.0,1,1,3,538.0,90.0,1,1.0,1.0,30.0,108.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
7513,1,2,3,1.0,1.0,4,2,2,850.0,95.0,1,1.0,1.0,30.0,65.0,1.0,0.0,1.0,0.0,4.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
7525,1,5,2,1.0,1.0,1,1,2,600.0,80.0,1,1.0,1.0,25.0,112.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
7533,2,5,2,1.0,1.0,1,1,2,500.0,100.0,1,1.0,1.0,30.0,104.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
7539,1,7,2,1.0,1.0,1,1,2,850.0,60.0,1,1.0,0.0,,,2.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
7544,2,3,2,1.0,1.0,1,1,1,400.0,80.0,1,1.0,1.0,30.0,46.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
7550,1,3,1,,,1,1,1,390.0,,1,1.0,0.0,,,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
7556,2,5,3,1.0,1.0,1,1,2,450.0,100.0,1,1.0,1.0,30.0,88.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
7571,2,2,1,,,2,2,1,1500.0,65.0,1,1.0,1.0,60.0,50.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
7577,1,3,2,1.0,1.0,1,1,2,600.0,90.0,1,1.0,1.0,30.0,41.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,
7580,1,5,2,1.0,1.0,2,1,2,600.0,75.0,1,1.0,0.0,,,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
7583,1,4,2,1.0,1.0,4,1,3,4000.0,60.0,1,1.0,1.0,30.0,133.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
7612,1,8,3,1.0,1.0,1,1,3,1200.0,70.0,1,1.0,0.0,,,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,
7615,1,5,1,,,1,1,2,400.0,70.0,1,1.0,0.0,,,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
7618,2,4,3,1.0,1.0,2,1,2,8070.0,90.0,1,1.0,0.0,,,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7633,1,6,1,,,2,2,2,,,1,1.0,0.0,,,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,1.0,1.0,
7637,1,4,2,1.0,1.0,1,1,2,5445.0,50.0,1,1.0,1.0,30.0,10.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
7652,1,6,3,1.0,1.0,3,1,3,1000.0,80.0,1,1.0,1.0,30.0,31.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7663,2,5,3,1.0,1.0,1,1,2,,,1,1.0,0.0,,,0.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
7666,1,4,3,1.0,1.0,2,2,2,7532.0,80.0,1,1.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7670,1,4,2,1.0,1.0,1,1,2,5445.0,80.0,1,1.0,1.0,30.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
7685,2,5,3,1.0,1.0,1,1,1,500.0,80.0,1,1.0,1.0,30.0,202.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7688,2,2,2,1.0,1.0,1,1,1,500.0,60.0,1,1.0,1.0,30.0,37.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
7697,1,4,3,1.0,1.0,1,1,2,800.0,60.0,1,1.0,0.0,,,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7698,1,2,3,1.0,1.0,1,1,1,350.0,80.0,1,1.0,1.0,30.0,42.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,
7703,1,6,3,1.0,1.0,1,1,2,570.0,50.0,1,1.0,1.0,20.0,85.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
7704,1,5,3,1.0,1.0,2,1,2,2152.0,90.0,1,1.0,0.0,,,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,
7712,1,4,3,1.0,1.0,2,1,2,760.0,70.0,1,1.0,0.0,,,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
7721,1,4,3,1.0,1.0,1,1,3,490.0,80.0,1,1.0,0.0,,,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,1.0,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
7740,2,4,3,1.0,1.0,3,2,3,8608.0,85.0,1,1.0,1.0,30.0,32.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7747,1,5,1,,,1,2,4,40.0,,1,1.0,0.0,,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
7769,2,4,3,1.0,1.0,1,1,1,800.0,70.0,1,1.0,0.0,,,3.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0
7770,1,5,3,1.0,1.0,2,2,1,800.0,80.0,1,1.0,1.0,30.0,45.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7771,2,5,1,,,3,1,3,753.20001,75.0,1,1.0,1.0,25.0,37.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
7776,1,3,3,1.0,1.0,1,1,1,500.0,90.0,1,1.0,1.0,25.0,65.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7782,2,4,3,1.0,1.0,1,1,0,100.0,100.0,1,1.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,
7787,1,14,3,1.0,1.0,6,1,6,1200.0,90.0,1,1.0,1.0,30.0,36.0,0.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7789,1,5,1,,,1,1,3,1500.0,65.0,1,1.0,0.0,,,2.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,
7815,1,6,3,1.0,1.0,2,1,3,1200.0,70.0,1,1.0,0.0,,,2.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
7836,1,6,2,1.0,1.0,1,1,2,400.0,40.0,1,1.0,0.0,,,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,1.0,1.0,0.0,0.0,1.0,1.0,5.0
7838,1,5,3,1.0,1.0,2,1,1,900.0,90.0,1,1.0,1.0,25.0,,2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7851,1,4,2,1.0,1.0,1,1,2,600.0,80.0,1,1.0,1.0,25.0,65.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
7853,2,3,1,,,1,1,1,500.0,45.0,1,1.0,1.0,30.0,46.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,1.0,1.0,
7858,1,4,3,1.0,1.0,1,1,1,250.0,100.0,1,1.0,0.0,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
7859,2,3,3,1.0,1.0,1,1,4,900.0,100.0,1,1.0,1.0,30.0,36.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
7864,1,5,2,1.0,1.0,1,1,2,1000.0,70.0,1,1.0,1.0,30.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7865,2,5,3,1.0,2.0,1,2,0,600.0,100.0,1,1.0,1.0,30.0,76.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
7867,1,4,2,1.0,1.0,2,1,2,500.0,75.0,1,1.0,1.0,25.0,82.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
7868,2,2,3,1.0,1.0,1,1,1,175.0,100.0,1,1.0,1.0,30.0,200.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
7869,1,5,2,1.0,1.0,1,1,4,17100.0,100.0,1,1.0,1.0,30.0,85.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
7882,1,3,2,1.0,1.0,1,1,1,,,1,1.0,1.0,30.0,180.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
7884,1,6,3,1.0,1.0,2,1,2,1000.0,85.0,1,1.0,0.0,,,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7892,1,5,3,1.0,1.0,1,1,3,700.0,100.0,1,1.0,1.0,30.0,51.0,0.0,0.0,6.0,0.0,0.0,1.0,3.0,0.0,,0.0,,0.0,,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,
7898,1,5,2,1.0,1.0,2,1,2,450.0,65.0,1,1.0,0.0,,,2.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
7909,1,5,2,1.0,1.0,2,1,1,750.0,75.0,1,1.0,1.0,25.0,,2.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
7914,1,3,3,1.0,1.0,1,1,2,500.0,80.0,1,1.0,1.0,25.0,50.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7916,2,3,3,1.0,1.0,1,2,1,360.0,100.0,1,1.0,1.0,30.0,98.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,
7926,1,2,3,1.0,1.0,3,3,3,500.0,90.0,1,1.0,1.0,30.0,13.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
7934,1,5,3,1.0,1.0,3,2,2,1500.0,80.0,1,1.0,0.0,,,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
7940,1,5,3,1.0,1.0,1,1,4,2700.0,90.0,1,1.0,1.0,30.0,44.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,
7945,1,5,3,1.0,1.0,2,1,2,900.0,65.0,1,1.0,1.0,25.0,85.0,2.0,3.0,1.0,0.0,1.0,1.0,3.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,
7987,1,5,3,1.0,1.0,1,1,2,800.0,80.0,1,1.0,1.0,25.0,95.0,2.0,5.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,
8000,1,2,3,1.0,1.0,1,2,2,500.0,100.0,1,1.0,1.0,30.0,66.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
8007,1,5,3,1.0,2.0,1,1,2,,,1,1.0,1.0,30.0,35.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
8008,1,7,3,1.0,1.0,1,2,2,700.0,100.0,1,1.0,0.0,,,0.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
8018,1,4,1,,,1,1,2,1000.0,,1,1.0,0.0,,,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,
8020,1,5,3,1.0,1.0,2,1,2,1200.0,80.0,1,1.0,1.0,,19.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,
8030,2,4,3,1.0,1.0,1,1,2,1000.0,80.0,1,1.0,1.0,30.0,108.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
8036,1,5,2,1.0,1.0,2,1,2,600.0,80.0,1,1.0,1.0,30.0,62.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,
8046,1,4,3,1.0,1.0,1,1,2,750.0,60.0,1,1.0,1.0,30.0,85.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,,1.0,1.0,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,
8048,1,5,2,1.0,1.0,1,1,2,500.0,80.0,1,1.0,1.0,25.0,86.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
8105,2,3,2,1.0,1.0,1,1,2,600.0,90.0,1,1.0,1.0,30.0,111.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
8124,1,6,3,1.0,1.0,2,1,2,8070.0,90.0,1,1.0,1.0,30.0,75.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,
8163,1,8,3,1.0,1.0,1,2,2,800.0,85.0,1,1.0,1.0,30.0,11.0,0.0,4.0,2.0,0.0,1.0,1.0,3.0,0.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
